location_id,location_name,location_district,facility_code,facility_name
131,Choma Health Centre,Mzimba North,MZ160309,Choma Health Centre
1124,Chombe dispensary Nkhatabay,Nkhatabay,KB050310,Chombe dispensary Nkhatabay
133,Chongoni Health Centre,Dedza,DE030313,Chongoni Health Centre
727,Chronic Cough,,,Chronic Cough
135,City Assembly Dispensary,Lilongwe,LL040315,City Assembly Dispensary
1057,City Centre Clinic (Blantyre),Blantyre,BT240088,City Centre Clinic (Blantyre)
868,City Centre Clinic (Lilongwe),Lilongwe,LL040316,City Centre Clinic (Lilongwe)
989,City Clinic (Zomba),Zomba,ZA230317,City Clinic (Zomba)
136,Cobbe Barracks Hospital,Zomba,ZA230318,Cobbe Barracks Hospital
711,College of Medicine,Blantyre,,College of Medicine
1113,College of Medicine Pvt Clinic,Blantyre,,College of Medicine Pvt Clinic
967,Comfort Clinic (Balaka),Balaka,BK170321,Comfort Clinic (Balaka)
141,DGM Livingstonia Hospital,Rumphi,RU140702,DGM Livingstonia Hospital
736,Dae-Yang Hospital,Lilongwe,LL040325,Dae-Yang Hospital
699,Dalitso Clinic,Lilongwe,LL041255,Dalitso Clinic
137,Dedza District Health Office,Dedza,DE030334,Dedza District Health Office
139,Dedza Health Area,Dedza,,Dedza Health Area
140,Dedza Health District,Dedza,,Dedza Health District
146,Doviko Dispensary,Ntcheu,NT120349,Doviko Dispensary
147,Dowa District Health Office,Dowa,DA020350,Dowa District Health Office
149,Dowa Health Area,Dowa,,Dowa Health Area
150,Dowa Health District,Dowa,,Dowa Health District
865,Dr David Livingstone Memorial Clinic,Lilongwe,,Dr David Livingstone Memorial Clinic
824,Dr Msachi's Clinic,Mzimba North,MZ160357,Dr Msachi's Clinic
151,Dwambazi Health Centre,Nkhotakota,NK100360,Dwambazi Health Centre
153,Dwangwa Cane Growers Association Clinic,Nkhota-kota,NK100362,Dwangwa Cane Growers Association Clinic
154,Dwangwa Health Centre,Kasungu,KU070363,Dwangwa Health Centre
155,Dzalanyama Dispensary,Lilongwe,LL040365,Dzalanyama Dispensary
156,Dzeleka Refugee Camp Health Centre,Dowa,DA020366,Dzeleka Refugee Camp Health Centre
157,Dzenje Maternity,Mulanje,MU210367,Dzenje Maternity
160,Dziwe Dispensary,Balaka,BK170372,Dziwe Dispensary
161,Dzonzi-Mvai Health Centre,Ntcheu,NT120374,Dzonzi-Mvai Health Centre
163,Dzunje Dispensary,Ntcheu,NT120376,Dzunje Dispensary
819,ESCOM Clinic Mzuzu,Mzimba North,MZ160395,ESCOM Clinic Mzuzu
164,Edingeni Rural Hospital,Mzimba South,MZ160378,Edingeni Rural Hospital
165,Ehehleni Dispensary,Mzimba South,MZ160379,Ehehleni Dispensary
1089,Ekwendeni DIC,Mzimba East,MZ161809,Ekwendeni DIC
167,Ekwendeni Hospital,Mzimba North,MZ160383,Ekwendeni Hospital
960,El-Barakah Private Clinic,Blantyre,BT240384,El-Barakah Private Clinic
168,Embangweni Hospital,Mzimba South,MZ160388,Embangweni Hospital
169,Emfeni Health Centre,Mzimba South,MZ160389,Emfeni Health Centre
170,Emsizini Health Centre,Mzimba North,MZ160390,Emsizini Health Centre
171,Endindeni Health Centre,Mzimba South,MZ160391,Endindeni Health Centre
1125,Engalaweni Dispensary Mzimba South,Mzimba South,MZ161733,Engalaweni Dispensary Mzimba South
172,Engucwini Dispensary,Mzimba North,MZ160392,Engucwini Dispensary
173,Enukweni Mission Health Centre,Mzimba North,MZ161535,Enukweni Mission Health Centre
174,Euthini Rural Hospital,Mzimba South,MZ160397,Euthini Rural Hospital
813,Eva Demaya Centre,Rumphi,RU140398,Eva Demaya Centre
1031,FPAM Clinic Dowa,Dowa,,FPAM Clinic Dowa
1048,FPAM Clinic Kasungu,Kasungu,,FPAM Clinic Kasungu
834,FPAM Clinic Kawale,Lilongwe,,FPAM Clinic Kawale
816,FPAM Clinic Mzuzu,Mzimba North,MZ161810,FPAM Clinic Mzuzu
887,FPAM Clinic Ntcheu,Ntcheu,,FPAM Clinic Ntcheu
175,Falls Banja La Mtsogolo Dispensary,Lilongwe,LL041850,Falls Banja La Mtsogolo Dispensary
1054,Fidelity Private Clinic (Lilongwe),Lilongwe,LL040408,Fidelity Private Clinic (Lilongwe)
981,Friends of Mulanje (FOMO),Mulanje,MU210409,Friends of Mulanje (FOMO)
178,Ganya Maternity,Ntcheu,NT120416,Ganya Maternity
1058,Gateway Clinic (Blantyre),Blantyre,BT240417,Gateway Clinic (Blantyre)
181,Gola Health Centre,Chikwawa,CK270429,Gola Health Centre
912,Gombe Health Centre,Chikwawa,,Gombe Health Centre
183,Gombe Maternity,Thyolo,TH310431,Gombe Maternity
185,Guilleme St Michaels Health Centre,Mchinji,MC011376,Guilleme St Michaels Health Centre
874,Guillime Mission Hospital,Mchinji,,Guillime Mission Hospital
875,Gumba Health Centre,Mchinji,MC010441,Gumba Health Centre
988,H. Parker Sharp Health Centre (Domasi CCAP),Zomba,ZA230443,H. Parker Sharp Health Centre (Domasi CCAP)
187,Hallena Oakley Ntambanyama Health Centre,Thyolo,TH310445,Hallena Oakley Ntambanyama Health Centre
188,Hara Dispensary,Karonga,KA150446,Hara Dispensary
189,Hoho Health Centre,Mzimba South,MZ160452,Hoho Health Centre
1063,Holy family mission hospital,Phalombe,PH220453,Holy family mission hospital
190,Iba Health Centre,Mangochi,MG200460,Iba Health Centre
971,Ipyana Private Maternity (Balaka),Balaka,,Ipyana Private Maternity (Balaka)
847,JTI Leaf Clinic (Kanengo),Lilongwe,LL040474,JTI Leaf Clinic (Kanengo)
194,Jenda Health Centre,Mzimba South,MZ160471,Jenda Health Centre
710,John Hopkins,Blantyre,,John Hopkins
280,KTFT Dispensary (Mziza),Kasungu,KU070640,KTFT Dispensary (Mziza)
195,Kabudula Health Area,Lilongwe,LL040479,Kabudula Health Area
197,Kabuwa Health Centre,Mzimba South,MZ160480,Kabuwa Health Centre
198,Kabwafu Health Centre,Mzimba North,MZ160481,Kabwafu Health Centre
199,Kachale Health Centre,Blantyre,BT240074,Kachale Health Centre
