Facility Name,EMR_Facility_ID,OrgUnit ID
Kasungu District Hospital,254,wNoaGHOI6Zl
Katawa Health Centre,NA,vvgvKSNrelJ
Katchale Health Centre,861,SUO29yrjbH4
Katema Health Centre,257,gNaXoVYpN1v
Katete Rural Hospital,258,YABJoiuXQMB
Katili Dispensary,NA,nrK4dEVDNdL
Katimbila Health Centre,259,Fz0tDlXVsn3
Katowo Rural Hospital,260,TgIZdG9r95r
Katsekera Health Centre,261,Mby0tOuLfvm
Katuli Health Centre,262,fA8higAcbmz
Kaundu Health Centre,263,H0sBidyA6PK
Kavuzi Health Centre,806,g7LNUVG1pQA
Kawalazi Plantation Clinic,NA,UT6ad8gmKjC
Kawale Banja La Mtsogolo Dispensary,264,SnfOrypiyQj
Kawale Medical Services,869,q4n2TvCdd9O
Kawale Urban Health Centre,265,d1WQftQ87x3
Kawamba Health Centre,266,flfOvLzldtj
Kaweche Health Centre,826,BRvHol84T4Q
Kawinga Dispensary,267,ozdBwLyST0J
Kayembe Health Centre,268,HYqblaD619d
Kazyozyo Health Centre,269,q4bVkSStlsm
kch Administration Support Department,NA,tBadX7ZB9Xc
kch Dental Department,NA,VcQaxDFCVSX
kch ICU Theatre Department,NA,VG3tXaAFnhX
kch Laboratory Department,NA,ZsbqAgD0L7d
kch Medical Department,NA,g699zwDjYsN
kch Mixed Department,NA,mSKoFY7pb5h
kch Obs and Gynae Department,NA,fOxzhQuzhf4
kch Oncology Department (Cancer Centre),NA,GGibsHr7fMh
kch Ophthalmology Department,NA,z51sML21fcH
kch Paediatrics Department,NA,bJ0QBPMuwpI
kch Pharmacy Department,NA,GUFsjOInEy9
kch Physiotherapy Department,NA,k9fTdEOliSN
kch Radiology Department,NA,Q97kz1e8AAf
kch Surgical Department,NA,vmFAlIXd0j1
Khama Private Clinic,NA,x647VZUetKI
Khasu Health Centre,270,y34yv5aEYeA
Khola Health Centre,271,PYQecgNXvAc
Khombedza Health Centre,272,XcRAuC6ZPi0
Khondowe Health Centre,273,OxWyNMOFrbv
Khongoni Health Centre,274,W8j3MAkrJe4
Khonjeni Health Centre,275,UkXVvwCLQgO
Khosolo Health Centre,276,GVweqBeEYdR
Khuwi Health Centre,277,RgHJHBTtszj
Khuyukuyu Health Centre,823,q0KYGiBsenN
Koche Health Centre,278,O65d1uI6NGP
Kochilira Rural Hospital,279,sxgy4P0oUli
Kukalanga Dispensary,281,QOSmQ9gyzBp
Kunenekude Health Centre,282,tB6qZOxpIwC
Kwitanda Health Centre,283,Z8EORvXbL8x
Lafarge Cement Clinic,934,JDVeTXJTAq1
Lakeview Health Centre,284,s0oVNR4X97p
Lambulira Health Centre,285,fDKWlLdMpdy
Lemwe Health Centre,286,HRNjqusGvXx
Lengwe Clinic(Illovo Private),287,bvTUezQA0ui
Lifeline Health Centre,NA,IxcEPNvhmZx
Lifuwu Health Centre,288,BFn8OYQ5lyA
Lighthouse Foundation,701,sWWrrglyJ0M
Lighthouse KCH,702,kR3EKghUNys
Ligowe Dispensary,756,gA0WGnhCnYt
Likangala Health Centre,289,LBeMMNRQSoU
Likuni Hospital,293,JquLSZgkHQ8
Lilongwe Central Hospital,295,cFiiWO0mSVO
Lilongwe City Assembly Chinsapo,860,m6bNWBsRDsi
Lilongwe Health Clinic,870,WgW57Jmd2oN
Lilongwe Private Clinic,871,oBjbSOYLYR5
Limbe Diagnostic Centre,937,VDhjuZZi4GG
Limbe Health Centre,299,KVxcc4baK2p
Limbe Leaf Tobacco Clinic Lilongwe,862,IEPmsKQJaGW
Limbe Leaf Tobacco ClinicLimbe,942,inRBKdag7Vs
Limbe MASM Clinic,932,oLKSaQ4gqL5
Lingadzi Private Clinic,854,no3kcRH6rEJ
Linyangwa Health Centre,300,z9yDHU0ZYQd
Lirangwe Health Centre,301,ZUMSlT5ZDCE
Lisungwi Health Centre,302,jBJ1nrUXKIu
Liuzi Health Centre,303,HYxgXNwy8Wn
Livwezi Health Centre,NA,p4eKC1ZsXQ4
Liwaladzi Health Centre,304,TwUljmbTv4b
Liwonde Medical Clinic,NA,pri4uEfpoMg
Lizulu Health Centre,305,yZVsJTXGxyZ
Lobi Health Centre,306,yEDgnTigUVO
Lodjwa Health Centre,NA,MrIB1LvLmRs
Ludzi St Joseph's Mission Hospital,307,L42aUTBuigK
Lugola Health Centre,308,AcMkv28WWEO
Lujeri Health Centre,309,QmGoFNWfUFa
Lulanga Health Centre,310,iIwqmezZ9rs
Lulwe Health Centre,311,ftIjkXg1oCr
Lumbadzi Health Centre,312,UrNi47KXEKp
Lundu Health Centre,313,j94m3pNGJLw
Lungu Private Clinic,NA,nF4bckRFYqv
Lungwena Health Centre,314,VdDtiG3fZ9A
Lunjika Health Centre,315,ssMcu8y2Kf3
Lunzu BLM,NA,kcbyRaflph0
Lupembe Health Centre,316,haaT3dJc33b
Lura Health Centre,811,E1n8QFnk7M2
Lusangazi Dispensary,NA,npu0OQlvf8P
Lutheran Mobile Clinic,NA,NIkvOFVUcr0
Luvwere Dispensary,317,qY3GH22ifOb
Luwalika Health Centre,318,qBxArP5yT1I
Luwani Health Centre,319,y3FF95NnZzl
Luwawa Health Centre,320,qRO40W7cmWx
Luwerezi Health Centre,321,upbCscjsSDs
Luwuchi Health Centre,322,Ie6bXE64qOA
Luzi Health Centre,323,p9HxhQYtEuW
Lwazi Health Centre,324,h7qFHIsVs04
Lwezga Health Centre,325,eXttdubBDLr
M'mambo Heaith Centre,NA,PFhr83vxGgZ
Mabili Health Centre,326,vv5AP3nMhAz
Machinga District Hospital,328,HN3xPrwEli4
Machinga Health Centre,330,cYYZv88xBL6
Machinjiri Health Centre,783,LtrODoKSSgr
Macro Blantyre,704,ZZNgP1RcC8H
Macro Lilongwe,718,dLEhItCFbai
Macro Mzuzu,717,n6SrNst4ONq
Madede Health Centre,332,p3frzwQQnXF
Madina Mobile Clinic,NA,NTDKX0ejDoi
Madisi Hospital,333,g9wv1lKcdzp
Madziabango Health Centre,334,JA9Ekal0Y2p
Maera Health Centre,990,gSVQoPw8dRz
