OrgUnit ID,OrgUnit Name
OvpduRMmYdH,Enukweni Mission Health Centre
ahOuLxBrycV,Escom Clinic Lilongwe
xmlMKVGErR7,Escom Clinic Mzuzu 
a7zgH8mf2GX,Euthini Rural Hospital
crKYTgv7r7B,Eva Demaya Centre 
uy5BU4EEAG8,ExteEnding Hope Clinic
vYMYW6T4t1J,Falls Banja La Mtsogolo Dispensary
faV6jPVs9bj,Fanuel Dispensary
G1n34alnula,Fidelity Private Clinic
lcGa2ZnUlen,Fpam Clinic Kasungu
xH7lnew9T1J,Fpam Clinic Kawale
OfoleksJLJl,Fpam Clinic Mzuzu
niuHkgX6xQs,Fpam Clinic Neno
OLX4puVMTHb,Fpam Clinic Ntcheu
UNLZJ1Nr3sq,Fulirwa Health Centre
ilA4dQOCNDP,Gaga Health Centre
eWHvY4VmR4R,Ganya Health Centre
rBhHYqxxhyM,Gate way Clinic
GEb1hObhM4q,Gawanani Health Centre
VGwB7sXLiHF,Gika Clinic
ZatKYtoIX0O,Ginnery Corner BLM
cTMzhKP8OCf,Gogo Nazombe health centre
HcsIEmls8R2,Gogode Health Centre
u4cfHib3TrT,Gola Dispensary
DuvCctg3dhx,Golomoti Health Centre
fCCBqUju3Q4,Gombe Health Center
Rs15DgnA3YP,Good Hope Private Clinic 
LDtggHdyRks,Gowa Health Centre
v1vDgkOvZ0w,Grace Health Centre
oT0jXXNSmag,Guilleme St Michaels Mission Hospital
qUpaRCpnoux,Gumba Dispensary
KhuXq8PnptT,H Parker Sharp Dispensary
v6gj70cBiQE,Hallena Oakely Health Centre
T13U7sHC0v2,Hara Dispensary
ypiAvIrP9U6,Hoho Health Centre
FZw4GOFV5X0,Iba Dispensary
LLnCuwo5RNG,Ifumbo Health Centre
qhmT1RSZunv,Illovo Factory Clinic
tyuN9XbfRHQ,Iponga Health Centre
s935PXX4rN2,Jalasi Health Centre
rWDOWogc1O7,Jalawe Health Centre
Mf6Xg1PJ7hC,Jenda Health Centre
PekPpdgGi9g,Jti Leaf Clinic Kanengo 
RcC6kifTBcF,K2 Taso Clinic
O6y74hiWU9z,Kabudula Rural Hospital
ZDj4Y2Flile,Kabuwa Health Centre
sZJvRZgWusR,Kabwafu Health Centre
veqbrdZo1K1,Kachere Health Centre
XyrCQrwYHQt,Kachere Private Clinic
UoujHkWWWBq,Kachindamoto Dispensary
IRP5VaILlSr,Kadango Dispensary
cLY2A4m8Jn0,Kadidi Health Centre
LGvOkReAslr,Kafele Health Centre
U0T5lPrgVEY,Kafukule Health Centre
fELrRZgvyHN,Kaigwazanga Health Centre
sYY0PQEhVU1,Kakoma Health Centre
fhlpdEEnGrQ,Kakwale Health Centre
OyDhmxtA7nb,Kalemba Health Centre
KNQ4RzNnZ6v,Kalembo Health Centre
GcRdYduUYh0,Kalikeni Private Clinic 
ZROS5WSviIN,Kalikumbi Health Centre
ZncuS3YlCAN,Kalima Village Clinic
K26cW6KAhFP,Kalimanjira Health Centre
uzaw4ubBdwd,Kalinde Health Centre
